order_number	order_date	sales_associate	customer	products/quantities	total_sale
CHA-CHING-0000014	2003-01-11	Hedley G. Trujillo	Scarlett Z. Marks	GRMZM0000087:69,GRMZM0000099:28,GRMZM0000014:92,GRMZM0000030:55,GRMZM0000079:61,GRMZM0000077:99	280.12
CHA-CHING-0000015	2003-01-27	Eliana V. Ashley	Lacy K. Pruitt	GRMZM0000081:11,GRMZM0000083:83	117.93
CHA-CHING-0000016	2003-02-12	Eliana V. Ashley	James Y. Mullen	GRMZM0000024:72,GRMZM0000009:81,GRMZM0000094:84,GRMZM0000088:14,GRMZM0000042:57,GRMZM0000001:50	371.32
CHA-CHING-0000017	2003-02-22	Sandra E. Ramsey	Ima C. Mullins	GRMZM0000056:15,GRMZM0000060:85,GRMZM0000007:82	196.8
CHA-CHING-0000018	2003-03-02	Hedley G. Trujillo	Paki W. Hamilton	GRMZM0000036:19,GRMZM0000078:46,GRMZM0000028:84,GRMZM0000012:62,GRMZM0000098:47	160.76
CHA-CHING-0000019	2003-03-11	Sandra E. Ramsey	Kennedy I. Hatfield	GRMZM0000020:99,GRMZM0000061:75,GRMZM0000073:58,GRMZM0000049:66	156.05
CHA-CHING-0000020	2003-03-16	Hedley G. Trujillo	Paki W. Hamilton	GRMZM0000057:51,GRMZM0000092:18	3.33
CHA-CHING-0000021	2003-03-18	Sandra E. Ramsey	Paki W. Hamilton	GRMZM0000004:58,GRMZM0000031:10,GRMZM0000029:47	60.91
CHA-CHING-0000022	2003-03-29	Eliana V. Ashley	Ava Y. Morrow	GRMZM0000095:15,GRMZM0000010:71,GRMZM0000086:80	90.95
CHA-CHING-0000023	2003-03-30	Macaulay U. Shaw	Noelani L. Grimes	GRMZM0000018:51,GRMZM0000043:65,GRMZM0000076:66,GRMZM0000016:12,GRMZM0000030:17	163.66
CHA-CHING-0000024	2003-04-05	Ingrid A. Reynolds	Sydnee L. Hooper	GRMZM0000078:33,GRMZM0000023:34,GRMZM0000009:74,GRMZM0000053:29,GRMZM0000014:30	152.56
CHA-CHING-0000025	2003-04-18	Ingrid A. Reynolds	Diana Y. Freeman	GRMZM0000018:4,GRMZM0000094:56	79.32
CHA-CHING-0000026	2003-04-24	Ingrid A. Reynolds	Scarlett Z. Marks	GRMZM0000095:3,GRMZM0000012:25	6.14
CHA-CHING-0000027	2003-04-26	Ingrid A. Reynolds	Colorado P. Daniel	GRMZM0000035:51,GRMZM0000048:94,GRMZM0000080:21,GRMZM0000051:14,GRMZM0000080:56	179.58
CHA-CHING-0000028	2003-05-04	Haviva N. Glenn	Diana Y. Freeman	GRMZM0000095:66,GRMZM0000029:93,GRMZM0000004:79,GRMZM0000018:41,GRMZM0000015:17	217.34
CHA-CHING-0000029	2003-05-05	Eliana V. Ashley	Latifah P. Jarvis	GRMZM0000001:53,GRMZM0000014:50	53.7
CHA-CHING-0000030	2003-05-07	Nolan E. Ward	Cameron J. Shaffer	GRMZM0000056:84,GRMZM0000079:17,GRMZM0000002:34	147.28
CHA-CHING-0000031	2003-05-09	Hayley W. Harrell	Diana Y. Freeman	GRMZM0000100:22,GRMZM0000038:6,GRMZM0000074:18	39.36
CHA-CHING-0000032	2003-05-22	Hayley W. Harrell	Eleanor A. Duncan	GRMZM0000047:5,GRMZM0000012:21,GRMZM0000005:75	73.94
CHA-CHING-0000033	2003-05-29	Nolan E. Ward	Aristotle G. Acosta	GRMZM0000012:1,GRMZM0000025:75,GRMZM0000089:40,GRMZM0000013:60,GRMZM0000092:96	112.64
CHA-CHING-0000034	2003-05-31	Ingrid A. Reynolds	Lysandra I. Gardner	GRMZM0000073:5,GRMZM0000021:72	54.7
CHA-CHING-0000035	2003-06-15	Brennan J. Morris	Flynn H. Hammond	GRMZM0000036:31,GRMZM0000100:91,GRMZM0000015:54	200.75
CHA-CHING-0000036	2003-07-11	Hayley W. Harrell	Luke J. Mitchell	GRMZM0000034:46,GRMZM0000066:58,GRMZM0000072:27,GRMZM0000056:99,GRMZM0000022:16,GRMZM0000037:52	135.22
CHA-CHING-0000037	2003-08-24	Macaulay U. Shaw	Linda G. Farmer	GRMZM0000088:68,GRMZM0000053:96,GRMZM0000002:54	131.26
CHA-CHING-0000038	2003-08-30	Macaulay U. Shaw	Nathan L. Avila	GRMZM0000075:36,GRMZM0000011:94,GRMZM0000058:18,GRMZM0000028:65,GRMZM0000023:70,GRMZM0000061:35	258.21
CHA-CHING-0000039	2003-09-02	Brennan J. Morris	Francis K. Pollard	GRMZM0000073:30,GRMZM0000012:97,GRMZM0000068:42,GRMZM0000096:92,GRMZM0000061:42,GRMZM0000096:27	203.63
CHA-CHING-0000040	2003-09-09	Brennan J. Morris	Tamekah X. Steele	GRMZM0000099:29,GRMZM0000015:9,GRMZM0000006:53	53.98
CHA-CHING-0000041	2003-09-13	Jocelyn Z. Parsons	Dai J. Fields	GRMZM0000041:93,GRMZM0000008:40	140.74
CHA-CHING-0000042	2003-09-29	Jocelyn Z. Parsons	Kennedy I. Hatfield	GRMZM0000088:77,GRMZM0000036:11	37.4
CHA-CHING-0000043	2003-10-09	Sandra E. Ramsey	Tatum T. Lambert	GRMZM0000033:87,GRMZM0000014:85,GRMZM0000084:7,GRMZM0000086:100,GRMZM0000079:26	166.52
CHA-CHING-0000044	2003-10-10	Macaulay U. Shaw	James Y. Mullen	GRMZM0000083:45,GRMZM0000083:33,GRMZM0000027:84	145.68
CHA-CHING-0000045	2003-10-13	Jocelyn Z. Parsons	Liberty C. Mclaughlin	GRMZM0000036:35,GRMZM0000079:11,GRMZM0000002:31,GRMZM0000028:20,GRMZM0000062:76,GRMZM0000020:24	216.67
CHA-CHING-0000046	2003-10-17	Eliana V. Ashley	Lysandra I. Gardner	GRMZM0000038:29,GRMZM0000025:21,GRMZM0000049:83,GRMZM0000074:69	95.53
CHA-CHING-0000047	2003-11-05	Ingrid A. Reynolds	Janna K. Mejia	GRMZM0000086:32,GRMZM0000072:79,GRMZM0000003:10,GRMZM0000088:100,GRMZM0000090:14,GRMZM0000034:10	112.4
CHA-CHING-0000048	2003-11-05	Sandra E. Ramsey	Paki W. Hamilton	GRMZM0000093:74,GRMZM0000061:37	89.17
CHA-CHING-0000049	2003-11-29	Ingrid A. Reynolds	Davis C. Mathis	GRMZM0000064:16,GRMZM0000067:15,GRMZM0000071:18,GRMZM0000066:68,GRMZM0000021:67	93.97
CHA-CHING-0000050	2003-12-04	Sandra E. Ramsey	Kadeem D. Herrera	GRMZM0000038:76,GRMZM0000052:76	157.32
CHA-CHING-0000051	2003-12-08	Eliana V. Ashley	Lacy K. Pruitt	GRMZM0000072:96,GRMZM0000055:95	56.47
CHA-CHING-0000052	2003-12-09	Sandra E. Ramsey	Gareth W. Albert	GRMZM0000035:6,GRMZM0000063:90	127.74
CHA-CHING-0000053	2003-12-16	Ingrid A. Reynolds	Rahim N. Daugherty	GRMZM0000056:58,GRMZM0000047:64,GRMZM0000018:3	84.49
CHA-CHING-0000054	2003-12-17	Ingrid A. Reynolds	Tatum T. Lambert	GRMZM0000023:37,GRMZM0000085:29,GRMZM0000021:69,GRMZM0000006:7,GRMZM0000007:7,GRMZM0000098:71	140.27
CHA-CHING-0000055	2003-12-20	Haviva N. Glenn	Nathan L. Avila	GRMZM0000025:96,GRMZM0000078:42,GRMZM0000016:25	114.46
CHA-CHING-0000056	2003-12-21	Macaulay U. Shaw	Eleanor A. Duncan	GRMZM0000046:48,GRMZM0000091:70	93.7
CHA-CHING-0000057	2003-12-24	Brennan J. Morris	Diana Y. Freeman	GRMZM0000079:26,GRMZM0000015:95,GRMZM0000082:47	199.42
CHA-CHING-0000058	2004-01-05	Hayley W. Harrell	Flynn H. Hammond	GRMZM0000088:51,GRMZM0000088:82,GRMZM0000037:78,GRMZM0000026:75	124.85
CHA-CHING-0000059	2004-01-11	Ingrid A. Reynolds	Paki W. Hamilton	GRMZM0000074:70,GRMZM0000035:5,GRMZM0000039:78,GRMZM0000001:15,GRMZM0000026:73	218.78
CHA-CHING-0000060	2004-01-13	Ingrid A. Reynolds	Leah T. Franks	GRMZM0000010:36,GRMZM0000019:51,GRMZM0000028:16,GRMZM0000017:25,GRMZM0000099:51	79.27
CHA-CHING-0000061	2004-02-04	Ingrid A. Reynolds	Ava Y. Morrow	GRMZM0000065:59,GRMZM0000050:2	22.6
CHA-CHING-0000062	2004-02-05	Hayley W. Harrell	Zelda A. Ochoa	GRMZM0000006:32,GRMZM0000090:90,GRMZM0000100:22,GRMZM0000070:8,GRMZM0000011:35,GRMZM0000014:13	86.01
CHA-CHING-0000063	2004-02-08	Nolan E. Ward	Lacy K. Pruitt	GRMZM0000075:100,GRMZM0000067:20,GRMZM0000057:65,GRMZM0000004:81	126.23
CHA-CHING-0000064	2004-02-14	Ingrid A. Reynolds	Latifah P. Jarvis	GRMZM0000058:23,GRMZM0000059:45,GRMZM0000065:97,GRMZM0000050:87,GRMZM0000010:35	132
CHA-CHING-0000065	2004-03-02	Sandra E. Ramsey	James Y. Mullen	GRMZM0000038:20,GRMZM0000078:24,GRMZM0000082:77,GRMZM0000008:9	135.23
CHA-CHING-0000066	2004-03-19	Nolan E. Ward	Tatum T. Lambert	GRMZM0000056:86,GRMZM0000022:2,GRMZM0000011:91,GRMZM0000084:19,GRMZM0000084:70	169.88
CHA-CHING-0000067	2004-03-21	Nolan E. Ward	Fulton A. Arnold	GRMZM0000078:18,GRMZM0000031:20,GRMZM0000010:56,GRMZM0000007:89,GRMZM0000084:13,GRMZM0000081:5	162.71
CHA-CHING-0000068	2004-03-22	Sandra E. Ramsey	Dai J. Fields	GRMZM0000072:21,GRMZM0000051:13,GRMZM0000065:45,GRMZM0000092:2	35.09
CHA-CHING-0000069	2004-03-31	Nolan E. Ward	Aristotle G. Acosta	GRMZM0000061:7,GRMZM0000069:67,GRMZM0000061:24,GRMZM0000076:98,GRMZM0000018:9	154.13
CHA-CHING-0000070	2004-04-02	Ingrid A. Reynolds	Davis C. Mathis	GRMZM0000048:60,GRMZM0000024:16,GRMZM0000037:50,GRMZM0000013:54,GRMZM0000046:86	73.98
CHA-CHING-0000071	2004-04-06	Nolan E. Ward	Alea U. Webb	GRMZM0000073:43,GRMZM0000040:77,GRMZM0000066:55,GRMZM0000058:84	161.09
CHA-CHING-0000072	2004-04-16	Ingrid A. Reynolds	Tatum T. Lambert	GRMZM0000083:42,GRMZM0000035:17,GRMZM0000004:39,GRMZM0000036:64,GRMZM0000096:71,GRMZM0000008:20	213.14
CHA-CHING-0000073	2004-05-14	Ingrid A. Reynolds	Noelani L. Grimes	GRMZM0000071:3,GRMZM0000082:18	20.4
CHA-CHING-0000074	2004-06-18	Haviva N. Glenn	Lysandra I. Gardner	GRMZM0000005:91,GRMZM0000068:64,GRMZM0000093:54	180.62
CHA-CHING-0000075	2004-06-21	Brennan J. Morris	Aristotle G. Acosta	GRMZM0000049:1,GRMZM0000084:6,GRMZM0000074:72	26.26
CHA-CHING-0000076	2004-06-29	Eliana V. Ashley	Eleanor A. Duncan	GRMZM0000079:52,GRMZM0000023:49,GRMZM0000003:71,GRMZM0000091:26,GRMZM0000011:84	285.89
CHA-CHING-0000077	2004-07-07	Nolan E. Ward	Colorado P. Daniel	GRMZM0000024:98,GRMZM0000050:66	114.72
CHA-CHING-0000078	2004-07-18	Haviva N. Glenn	Diana Y. Freeman	GRMZM0000014:62,GRMZM0000072:1,GRMZM0000052:72,GRMZM0000027:8,GRMZM0000025:30,GRMZM0000087:92	155.98
CHA-CHING-0000079	2004-07-25	Jocelyn Z. Parsons	Latifah P. Jarvis	GRMZM0000086:40,GRMZM0000016:15,GRMZM0000072:27	56.34
CHA-CHING-0000080	2004-08-02	Ingrid A. Reynolds	Janna K. Mejia	GRMZM0000059:48,GRMZM0000014:100,GRMZM0000024:82,GRMZM0000038:17,GRMZM0000058:17,GRMZM0000058:81	276.1
CHA-CHING-0000081	2004-08-27	Nolan E. Ward	Rahim N. Daugherty	GRMZM0000098:41,GRMZM0000082:21,GRMZM0000002:27,GRMZM0000066:5,GRMZM0000043:54,GRMZM0000002:87	210.91
CHA-CHING-0000082	2004-09-20	Brennan J. Morris	Kennedy I. Hatfield	GRMZM0000040:11,GRMZM0000066:28	14.34
CHA-CHING-0000083	2004-09-30	Nolan E. Ward	Zenaida X. Avila	GRMZM0000062:16,GRMZM0000068:22,GRMZM0000026:48,GRMZM0000083:7	93.9
CHA-CHING-0000084	2004-10-28	Nolan E. Ward	Kirsten B. Camacho	GRMZM0000033:58,GRMZM0000051:19,GRMZM0000095:6,GRMZM0000054:2,GRMZM0000068:22,GRMZM0000025:62	92.99
CHA-CHING-0000085	2004-11-14	Macaulay U. Shaw	Flynn H. Hammond	GRMZM0000060:69,GRMZM0000018:99,GRMZM0000010:50,GRMZM0000015:59,GRMZM0000009:76	322.91
CHA-CHING-0000086	2004-11-27	Nolan E. Ward	Flynn H. Hammond	GRMZM0000064:76,GRMZM0000067:9,GRMZM0000038:41,GRMZM0000030:45,GRMZM0000028:73	252.12
CHA-CHING-0000087	2004-12-08	Macaulay U. Shaw	Carolyn A. Burt	GRMZM0000053:51,GRMZM0000001:10,GRMZM0000045:24	50.61
CHA-CHING-0000088	2004-12-17	Hedley G. Trujillo	Eleanor A. Duncan	GRMZM0000009:75,GRMZM0000082:97,GRMZM0000049:49	191.11
CHA-CHING-0000089	2004-12-18	Jocelyn Z. Parsons	Lacy K. Pruitt	GRMZM0000017:49,GRMZM0000091:76	119.55
CHA-CHING-0000090	2004-12-20	Jocelyn Z. Parsons	Dai J. Fields	GRMZM0000024:78,GRMZM0000025:19,GRMZM0000078:89	198.69
CHA-CHING-0000091	2004-12-22	Brennan J. Morris	Nathan L. Avila	GRMZM0000014:27,GRMZM0000007:41,GRMZM0000099:80,GRMZM0000040:56,GRMZM0000097:30	192.91
CHA-CHING-0000092	2005-01-18	Ingrid A. Reynolds	Zephr R. Herrera	GRMZM0000076:82,GRMZM0000048:69,GRMZM0000024:27,GRMZM0000053:25	112.02
CHA-CHING-0000093	2005-02-27	Macaulay U. Shaw	Scarlett Z. Marks	GRMZM0000043:95,GRMZM0000081:57,GRMZM0000097:5	99.77
CHA-CHING-0000094	2005-03-08	Nolan E. Ward	Diana Y. Freeman	GRMZM0000039:59,GRMZM0000052:22,GRMZM0000075:38,GRMZM0000011:6,GRMZM0000063:70	231.47
CHA-CHING-0000095	2005-04-17	Sandra E. Ramsey	Kennedy I. Hatfield	GRMZM0000016:52,GRMZM0000055:70	63.9
CHA-CHING-0000096	2005-05-08	Haviva N. Glenn	Iris W. Workman	GRMZM0000042:60,GRMZM0000022:95,GRMZM0000010:21,GRMZM0000100:62,GRMZM0000055:36,GRMZM0000016:56	234.38
CHA-CHING-0000097	2005-05-13	Hayley W. Harrell	Burton E. Campbell	GRMZM0000058:34,GRMZM0000027:49	56.99
CHA-CHING-0000098	2005-05-17	Jocelyn Z. Parsons	James Y. Mullen	GRMZM0000014:78,GRMZM0000039:3,GRMZM0000095:34,GRMZM0000072:57,GRMZM0000085:22	95.33
CHA-CHING-0000099	2005-05-20	Sandra E. Ramsey	Cameron J. Shaffer	GRMZM0000079:52,GRMZM0000023:37	102.89
CHA-CHING-0000100	2005-06-22	Hayley W. Harrell	Yasir T. Fischer	GRMZM0000005:10,GRMZM0000001:95	94.7
CHA-CHING-0000101	2005-06-29	Ingrid A. Reynolds	Zephr R. Herrera	GRMZM0000018:49,GRMZM0000052:41,GRMZM0000054:88,GRMZM0000097:21	144.51
CHA-CHING-0000102	2005-07-14	Haviva N. Glenn	Colorado P. Daniel	GRMZM0000053:47,GRMZM0000053:96,GRMZM0000061:67,GRMZM0000085:86	204.16
CHA-CHING-0000103	2005-07-17	Sandra E. Ramsey	Tatum T. Lambert	GRMZM0000049:20,GRMZM0000096:9,GRMZM0000070:28,GRMZM0000087:44,GRMZM0000002:88,GRMZM0000019:50	191.91
CHA-CHING-0000104	2005-07-17	Hedley G. Trujillo	Tatum T. Lambert	GRMZM0000059:48,GRMZM0000027:17	68.33
CHA-CHING-0000105	2005-07-24	Nolan E. Ward	Davis C. Mathis	GRMZM0000057:13,GRMZM0000017:79,GRMZM0000049:93,GRMZM0000066:86	91.06
CHA-CHING-0000106	2005-08-08	Hedley G. Trujillo	Lacy K. Pruitt	GRMZM0000006:75,GRMZM0000075:34	53.39
CHA-CHING-0000107	2005-08-09	Jocelyn Z. Parsons	Francis K. Pollard	GRMZM0000086:51,GRMZM0000082:67,GRMZM0000002:19,GRMZM0000048:63,GRMZM0000025:94	205.6
CHA-CHING-0000108	2005-08-15	Haviva N. Glenn	Burton E. Campbell	GRMZM0000065:65,GRMZM0000077:11	30.2
CHA-CHING-0000109	2005-08-20	Hedley G. Trujillo	Cameron J. Shaffer	GRMZM0000065:18,GRMZM0000004:79,GRMZM0000082:67,GRMZM0000092:71	124.22
CHA-CHING-0000110	2005-08-26	Nolan E. Ward	Carolyn A. Burt	GRMZM0000026:22,GRMZM0000096:21,GRMZM0000036:65	91.49
CHA-CHING-0000111	2005-09-06	Nolan E. Ward	Ava Y. Morrow	GRMZM0000074:26,GRMZM0000013:82,GRMZM0000018:14,GRMZM0000013:37	62.83
CHA-CHING-0000112	2005-09-16	Nolan E. Ward	Flynn H. Hammond	GRMZM0000068:91,GRMZM0000078:27,GRMZM0000067:67,GRMZM0000071:7,GRMZM0000021:100	228.05
CHA-CHING-0000113	2005-09-16	Hedley G. Trujillo	Fulton A. Arnold	GRMZM0000036:99,GRMZM0000032:32,GRMZM0000065:29,GRMZM0000029:20	137.12
CHA-CHING-0000114	2005-09-26	Macaulay U. Shaw	Lacy K. Pruitt	GRMZM0000043:85,GRMZM0000095:93,GRMZM0000015:63,GRMZM0000053:47,GRMZM0000065:35	242
CHA-CHING-0000115	2005-10-05	Hedley G. Trujillo	Kennedy I. Hatfield	GRMZM0000011:79,GRMZM0000082:97,GRMZM0000051:91,GRMZM0000051:71	264.73
CHA-CHING-0000116	2005-10-18	Sandra E. Ramsey	Alika L. Alexander	GRMZM0000081:71,GRMZM0000085:2,GRMZM0000040:100,GRMZM0000085:77	225.64
CHA-CHING-0000117	2005-10-27	Ingrid A. Reynolds	Leah T. Franks	GRMZM0000059:2,GRMZM0000031:26	13.94
CHA-CHING-0000118	2005-11-06	Ingrid A. Reynolds	Kennedy I. Hatfield	GRMZM0000061:19,GRMZM0000085:38,GRMZM0000031:19,GRMZM0000003:56	137.67
CHA-CHING-0000119	2005-11-10	Sandra E. Ramsey	Iris W. Workman	GRMZM0000062:7,GRMZM0000098:66,GRMZM0000049:58,GRMZM0000028:11	45.72
CHA-CHING-0000120	2005-11-20	Hedley G. Trujillo	Zelda A. Ochoa	GRMZM0000086:67,GRMZM0000005:6,GRMZM0000036:8,GRMZM0000041:60	144.49
CHA-CHING-0000121	2005-11-29	Nolan E. Ward	Luke J. Mitchell	GRMZM0000036:84,GRMZM0000016:22	84.16
CHA-CHING-0000122	2005-12-05	Sandra E. Ramsey	Zephr R. Herrera	GRMZM0000055:86,GRMZM0000094:83,GRMZM0000095:3,GRMZM0000016:16	144.48
CHA-CHING-0000123	2005-12-19	Ingrid A. Reynolds	Isadora B. Reese	GRMZM0000099:72,GRMZM0000055:30,GRMZM0000092:17,GRMZM0000034:60,GRMZM0000088:32	89.4
CHA-CHING-0000124	2005-12-25	Eliana V. Ashley	Noelani L. Grimes	GRMZM0000048:93,GRMZM0000059:11,GRMZM0000065:60,GRMZM0000036:61,GRMZM0000072:39	142.71
CHA-CHING-0000125	2006-01-18	Nolan E. Ward	Davis C. Mathis	GRMZM0000077:11,GRMZM0000095:29,GRMZM0000097:66,GRMZM0000014:34,GRMZM0000028:23	125.62
CHA-CHING-0000126	2006-01-19	Hedley G. Trujillo	Rahim N. Daugherty	GRMZM0000079:100,GRMZM0000044:85,GRMZM0000040:41,GRMZM0000044:87,GRMZM0000012:33	288.08
CHA-CHING-0000127	2006-02-03	Ingrid A. Reynolds	Luke J. Mitchell	GRMZM0000086:67,GRMZM0000024:31,GRMZM0000061:75	134.91
CHA-CHING-0000128	2006-02-12	Ingrid A. Reynolds	Linda G. Farmer	GRMZM0000025:45,GRMZM0000055:59,GRMZM0000080:48,GRMZM0000014:53	94.33
CHA-CHING-0000129	2006-02-19	Eliana V. Ashley	Lacy K. Pruitt	GRMZM0000080:55,GRMZM0000007:3,GRMZM0000028:51	121.38
CHA-CHING-0000130	2006-02-23	Eliana V. Ashley	Ima C. Mullins	GRMZM0000061:52,GRMZM0000063:48,GRMZM0000045:20	120.88
CHA-CHING-0000131	2006-03-05	Ingrid A. Reynolds	Kennedy I. Hatfield	GRMZM0000025:18,GRMZM0000060:65,GRMZM0000094:100,GRMZM0000071:93,GRMZM0000089:17,GRMZM0000075:26	272.81
CHA-CHING-0000132	2006-03-09	Ingrid A. Reynolds	Janna K. Mejia	GRMZM0000016:51,GRMZM0000051:11	58.59
CHA-CHING-0000133	2006-03-15	Jocelyn Z. Parsons	Janna K. Mejia	GRMZM0000027:59,GRMZM0000021:74,GRMZM0000068:77	144.47
CHA-CHING-0000134	2006-03-17	Jocelyn Z. Parsons	Flynn H. Hammond	GRMZM0000033:1,GRMZM0000031:96,GRMZM0000067:83,GRMZM0000059:3,GRMZM0000076:10	111.18
CHA-CHING-0000135	2006-03-20	Haviva N. Glenn	Yasir T. Fischer	GRMZM0000015:15,GRMZM0000018:34,GRMZM0000021:65,GRMZM0000081:59	139.42
CHA-CHING-0000136	2006-03-20	Macaulay U. Shaw	Scarlett Z. Marks	GRMZM0000092:17,GRMZM0000082:22	25.46
CHA-CHING-0000137	2006-03-22	Nolan E. Ward	Scarlett Z. Marks	GRMZM0000040:28,GRMZM0000054:93,GRMZM0000018:22,GRMZM0000051:48,GRMZM0000016:62,GRMZM0000048:25	184.31
CHA-CHING-0000138	2006-03-29	Hayley W. Harrell	Scarlett Z. Marks	GRMZM0000066:37,GRMZM0000030:56	85.43
CHA-CHING-0000139	2006-03-30	Haviva N. Glenn	Tamekah X. Steele	GRMZM0000077:38,GRMZM0000064:70,GRMZM0000060:67,GRMZM0000013:62,GRMZM0000027:31	179.93
CHA-CHING-0000140	2006-04-03	Sandra E. Ramsey	Leah T. Franks	GRMZM0000084:7,GRMZM0000061:18,GRMZM0000052:41,GRMZM0000072:92,GRMZM0000080:78	190.5
CHA-CHING-0000141	2006-04-03	Nolan E. Ward	Yvette R. Norton	GRMZM0000089:4,GRMZM0000088:16,GRMZM0000017:42	30.98
CHA-CHING-0000142	2006-04-08	Eliana V. Ashley	Kirsten B. Camacho	GRMZM0000027:51,GRMZM0000014:45,GRMZM0000005:73	97.55
CHA-CHING-0000143	2006-04-15	Sandra E. Ramsey	Luke J. Mitchell	GRMZM0000085:60,GRMZM0000061:7	80.89
CHA-CHING-0000144	2006-04-24	Ingrid A. Reynolds	Isadora B. Reese	GRMZM0000030:31,GRMZM0000096:6	49.7
CHA-CHING-0000145	2006-04-27	Brennan J. Morris	Yvette R. Norton	GRMZM0000033:50,GRMZM0000039:12,GRMZM0000060:28,GRMZM0000071:58,GRMZM0000038:76,GRMZM0000085:58	242.28
CHA-CHING-0000146	2006-04-28	Brennan J. Morris	Noelani L. Grimes	GRMZM0000044:20,GRMZM0000032:85,GRMZM0000069:82,GRMZM0000031:69	245.37
CHA-CHING-0000147	2006-04-29	Nolan E. Ward	Leah T. Franks	GRMZM0000015:33,GRMZM0000075:24,GRMZM0000071:19,GRMZM0000036:31,GRMZM0000091:71	176.49
CHA-CHING-0000148	2006-05-09	Ingrid A. Reynolds	Tamekah X. Steele	GRMZM0000026:56,GRMZM0000099:45,GRMZM0000073:83	100.59
CHA-CHING-0000149	2006-05-11	Sandra E. Ramsey	Colorado P. Daniel	GRMZM0000074:64,GRMZM0000053:88,GRMZM0000041:22,GRMZM0000074:51	99.11
CHA-CHING-0000150	2006-05-23	Hedley G. Trujillo	Eleanor A. Duncan	GRMZM0000039:76,GRMZM0000056:94,GRMZM0000068:97,GRMZM0000093:43,GRMZM0000006:11	313.24
CHA-CHING-0000151	2006-06-10	Sandra E. Ramsey	Noelani L. Grimes	GRMZM0000020:38,GRMZM0000097:68,GRMZM0000052:58,GRMZM0000089:80,GRMZM0000078:66	336.4
CHA-CHING-0000152	2006-06-27	Nolan E. Ward	Diana Y. Freeman	GRMZM0000093:76,GRMZM0000020:100,GRMZM0000038:6,GRMZM0000046:81,GRMZM0000021:38,GRMZM0000019:34	183.46
CHA-CHING-0000153	2006-07-09	Brennan J. Morris	Burton E. Campbell	GRMZM0000030:67,GRMZM0000097:15,GRMZM0000057:26	110.03
CHA-CHING-0000154	2006-07-13	Brennan J. Morris	Lacy K. Pruitt	GRMZM0000083:2,GRMZM0000031:4,GRMZM0000071:30,GRMZM0000073:72,GRMZM0000026:62,GRMZM0000048:52	109.22
CHA-CHING-0000155	2006-07-19	Nolan E. Ward	Cameron J. Shaffer	GRMZM0000008:34,GRMZM0000052:46,GRMZM0000044:52,GRMZM0000057:59,GRMZM0000098:71	99.05
CHA-CHING-0000156	2006-07-24	Sandra E. Ramsey	Rahim N. Daugherty	GRMZM0000065:100,GRMZM0000028:66	102.68
CHA-CHING-0000157	2006-07-27	Ingrid A. Reynolds	Imelda G. Chambers	GRMZM0000041:4,GRMZM0000066:41,GRMZM0000090:32,GRMZM0000081:98	78.85
CHA-CHING-0000158	2006-07-27	Eliana V. Ashley	Cameron S. Kaufman	GRMZM0000065:90,GRMZM0000041:59,GRMZM0000093:1	116.49
CHA-CHING-0000159	2006-07-29	Ingrid A. Reynolds	Alika L. Alexander	GRMZM0000097:1,GRMZM0000057:100,GRMZM0000019:62,GRMZM0000100:96,GRMZM0000098:30,GRMZM0000100:52	191.61
